epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
10	 1.3134870483398438	 76.7	 1.2908775415039062	 78.526	1788.3481600284576
20	 0.8292655883789063	 82.67	 0.733891826171875	 86.852	3576.8174936771393
30	 0.58789755859375	 86.2	 0.460229599609375	 92.026	5367.304840326309
40	 0.4967035217285156	 87.46	 0.3109120526123047	 94.764	7155.775782585144
50	 0.4439535217285156	 88.25	 0.21602059051513672	 96.554	8944.087455034256
60	 0.40454749755859376	 89.04	 0.1476802101135254	 98.206	10729.958470582962
70	 0.39249743041992186	 89.27	 0.11391841171264648	 98.75	12518.725813865662
80	 0.3730760620117187	 89.66	 0.07564195693969726	 99.486	14308.715108633041
90	 0.384252197265625	 89.31	 0.07043926292419433	 99.304	16099.012263298035
100	 0.356588525390625	 90.17	 0.04655050018310547	 99.814	17889.221266269684
110	 0.3460720916748047	 90.49	 0.04026709945678711	 99.856	19675.520238399506
120	 0.35570779724121093	 90.35	 0.03533621566772461	 99.856	21461.01758790016
130	 0.36156502685546876	 90.14	 0.029845526504516603	 99.9	23246.94607281685
140	 0.3724199951171875	 89.75	 0.026600971755981445	 99.886	25033.983115434647
150	 0.3658758087158203	 90.23	 0.028573469047546388	 99.838	26826.78154706955
160	 0.36517459411621095	 90.34	 0.023543465690612792	 99.92	28613.399399995804
170	 0.3842698822021484	 89.48	 0.0213567431640625	 99.916	30398.541256189346
180	 0.3757769378662109	 90.21	 0.01783273624420166	 99.962	32188.84937953949
190	 0.3725246154785156	 90.07	 0.015821081314086913	 99.982	33978.152279376984
200	 0.37945033264160155	 90.31	 0.016408683452606203	 99.916	35765.52296948433
process 0: Training time 35765.52950000763 seconds (with 5 workers)

process 0: total time 46240.27156376839 seconds (with 5 workers)

