epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
10	 1.2186010498046875	 78.59	 1.1662155639648437	 82.586	271.6340231895447
20	 0.7226358581542969	 85.6	 0.6211269909667969	 90.372	542.2065634727478
30	 0.5360793243408203	 87.77	 0.3643613616943359	 95.106	812.6567349433899
40	 0.4870945495605469	 88.47	 0.2528218688964844	 97.43	1083.9830648899078
50	 0.44450135192871093	 89.22	 0.18654523315429689	 98.758	1354.5916638374329
60	 0.4500226654052734	 88.44	 0.15334649597167968	 99.196	1626.04332447052
70	 0.4432195068359375	 88.51	 0.12631212631225586	 99.57	1897.4276523590088
80	 0.4307455780029297	 88.86	 0.1063080484008789	 99.746	2168.822058200836
90	 0.41792976989746095	 89.15	 0.09486481094360352	 99.792	2440.290852546692
100	 0.4220940368652344	 88.86	 0.08512685455322265	 99.812	2710.8989865779877
110	 0.4207795654296875	 88.88	 0.07739808944702148	 99.876	2981.2591087818146
120	 0.4210337615966797	 88.78	 0.07048811904907226	 99.888	3252.4193518161774
130	 0.4229950714111328	 88.85	 0.06532709838867187	 99.904	3522.931390762329
140	 0.4191866882324219	 88.83	 0.06079978157043457	 99.932	3793.453265428543
150	 0.42478195190429685	 88.58	 0.05642791328430176	 99.952	4064.555760383606
160	 0.4222583435058594	 88.78	 0.05398972801208496	 99.948	4335.598593950272
170	 0.4113715362548828	 89.11	 0.050821138916015626	 99.95	4606.5592222213745
180	 0.4149743011474609	 88.89	 0.04826235069274902	 99.964	4878.02116560936
190	 0.4175239776611328	 88.93	 0.04655115951538086	 99.952	5149.24177646637
200	 0.41456553955078124	 89.01	 0.044140884475708006	 99.958	5420.358354091644
process 0: Training time 5420.372727632523 seconds (with 1 workers)

process 0: total time 5726.432804107666 seconds (with 1 workers)

