epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
10	 1.6513937622070312	 73.91	 1.6312378295898438	 75.842	270.55246210098267
20	 1.1435374145507813	 81.85	 1.082690517578125	 85.938	541.013338804245
30	 0.8499750549316406	 84.47	 0.7489297241210937	 89.844	811.1071088314056
40	 0.6969896850585937	 85.88	 0.5407270922851563	 92.942	1081.123425245285
50	 0.5842319885253906	 86.87	 0.39191473876953126	 95.334	1351.2950448989868
60	 0.5117181274414062	 87.92	 0.2802477551269531	 97.304	1622.461419582367
70	 0.4889809234619141	 88.2	 0.22157177978515624	 98.038	1892.4706935882568
80	 0.46615129089355467	 88.2	 0.17061732604980467	 98.722	2162.7832918167114
90	 0.4535050506591797	 88.49	 0.13719578628540038	 99.15	2433.7918179035187
100	 0.4312376190185547	 88.48	 0.11417768524169922	 99.37	2704.9435081481934
110	 0.43120047607421874	 88.17	 0.09239832336425781	 99.654	2976.2929158210754
120	 0.42530315551757814	 88.52	 0.07795150695800782	 99.706	3247.015079021454
130	 0.4227528259277344	 88.68	 0.06793188766479492	 99.784	3518.322332382202
140	 0.4339664367675781	 88.27	 0.0627376328277588	 99.748	3789.66056060791
150	 0.4176637603759766	 88.96	 0.0546745263671875	 99.848	4060.1909267902374
160	 0.41358322448730467	 88.95	 0.048648508834838865	 99.866	4330.451107740402
170	 0.41638150634765625	 89.02	 0.045214287490844725	 99.878	4601.7478723526
180	 0.43485391845703125	 88.56	 0.04314425704956055	 99.89	4872.963582992554
190	 0.4333093963623047	 88.3	 0.044581096572875976	 99.768	5143.052401542664
200	 0.4119050506591797	 89.17	 0.03483766342163086	 99.922	5414.0594046115875
process 0: Training time 5414.075602531433 seconds (with 1 workers)

process 0: total time 5719.854768514633 seconds (with 1 workers)

