epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
10	 1.6500118041992187	 74.39	 1.6243927783203125	 77.104	272.9341480731964
20	 1.3390592895507814	 80.59	 1.287920400390625	 84.61	544.1956593990326
30	 1.1620205444335938	 82.81	 1.0850233129882811	 88.292	815.9305105209351
40	 1.0827194091796875	 83.67	 0.9761194665527344	 90.822	1088.1241235733032
50	 1.03304697265625	 84.03	 0.9088659790039062	 92.01	1359.401528596878
60	 1.0062362243652343	 83.96	 0.8620136938476562	 92.832	1630.558921098709
70	 0.98045	 84.14	 0.8195117553710938	 93.62	1901.5889213085175
80	 0.9549140930175781	 84.48	 0.7855572412109375	 94.224	2172.1819999217987
90	 0.9313927307128906	 84.82	 0.7567719750976563	 94.81	2443.7418217658997
100	 0.9155321655273437	 84.93	 0.7307859411621094	 95.276	2715.4840931892395
110	 0.8966986145019531	 85.26	 0.7110825402832032	 95.46	2986.1220829486847
120	 0.8879127075195312	 85.05	 0.6901370544433594	 95.798	3257.6318080425262
130	 0.882331787109375	 84.93	 0.6726855627441406	 96.156	3529.0106303691864
140	 0.8711386169433594	 84.74	 0.6560792333984375	 96.294	3799.958486557007
150	 0.8575678649902344	 85.2	 0.6405275048828125	 96.67	4071.0888833999634
160	 0.8531275268554688	 84.97	 0.6279829125976563	 96.662	4342.747503519058
170	 0.8507153198242188	 84.94	 0.6153625659179688	 96.906	4614.910776615143
180	 0.8428833740234375	 84.81	 0.6017916784667968	 97.166	4886.473547697067
190	 0.837796337890625	 84.84	 0.590473037109375	 97.338	5158.573993444443
200	 0.82788359375	 84.99	 0.5801986364746093	 97.462	5429.6262373924255
process 0: Training time 5429.642463207245 seconds (with 1 workers)

process 0: total time 5734.830996513367 seconds (with 1 workers)

