epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
5	 0.05211650152206421	 98.24	 0.05413766949971517	 98.29	42.82059645652771
10	 0.04050861954689026	 98.66	 0.03160022110939026	 99.03333333333333	85.64185762405396
15	 0.03733221418857575	 98.82	 0.019763369019826255	 99.4	128.69038367271423
20	 0.03414615426063538	 99.02	 0.014749473436673483	 99.53166666666667	171.3536412715912
25	 0.03783338122367859	 98.91	 0.010048545853296917	 99.725	214.49310564994812
30	 0.03963471121788025	 98.97	 0.00848596530755361	 99.73666666666666	257.4742569923401
35	 0.04238380906581879	 98.9	 0.006459750139713287	 99.80166666666666	300.1412453651428
40	 0.044709038960933686	 98.98	 0.0035702122271060945	 99.92	348.68416452407837
45	 0.04570617535114288	 98.84	 0.003215082114934921	 99.925	391.8300721645355
50	 0.045121698117256165	 98.95	 0.0017778158287207286	 99.96833333333333	435.8547055721283
55	 0.042783327078819273	 98.98	 0.0012571429888407388	 99.98333333333333	480.05124831199646
60	 0.046608408308029176	 99.01	 0.0007062574530641238	 99.99	534.8576426506042
65	 0.047428026580810544	 99.06	 0.00048726516167322794	 99.995	578.3426003456116
70	 0.0497386111497879	 98.99	 0.0004993787909547488	 99.995	620.8200109004974
75	 0.04984966154098511	 99.03	 0.0003281535861392816	 99.99666666666667	666.5888755321503
80	 0.051163264751434324	 99.05	 0.000292228335638841	 99.99666666666667	709.541811466217
85	 0.0525122472524643	 99.02	 0.0002163084634890159	 99.99833333333333	752.5634787082672
90	 0.053313237524032595	 99.02	 0.00019327786415815354	 100.0	795.374320268631
95	 0.0550298092842102	 99.04	 0.00015109412719806035	 100.0	837.9519803524017
100	 0.05534571664333344	 99.08	 0.00013531712833791972	 100.0	880.5031583309174
105	 0.056201526927948	 99.05	 0.00012131657004356384	 100.0	923.2496190071106
110	 0.056332277703285215	 99.07	 0.00011464284577717383	 100.0	976.658077955246
115	 0.05718176525831223	 99.06	 0.00010551714363197486	 100.0	1019.4030435085297
120	 0.0582214318215847	 99.07	 9.396634983519713e-05	 100.0	1069.991272687912
125	 0.05803744865655899	 99.04	 8.962016515433788e-05	 100.0	1112.8020696640015
130	 0.0583452824473381	 99.05	 8.732584795604149e-05	 100.0	1155.6151428222656
135	 0.05949918953180313	 99.1	 7.577916995311776e-05	 100.0	1198.7324018478394
140	 0.05967055544853211	 99.06	 8.076266801605622e-05	 100.0	1241.5815784931183
145	 0.060226451182365415	 99.08	 6.855938487375776e-05	 100.0	1284.3759899139404
150	 0.06078492133617401	 99.06	 6.401111803327998e-05	 100.0	1326.9073023796082
155	 0.06016442403793335	 99.09	 6.278458628803491e-05	 100.0	1369.3409848213196
160	 0.06111271406412125	 99.05	 5.8546369709074497e-05	 100.0	1423.5632512569427
165	 0.06235648074746132	 99.02	 5.4715651118506985e-05	 100.0	1472.130523443222
170	 0.06245038925409317	 99.07	 5.162924770265818e-05	 100.0	1514.8260645866394
175	 0.06314551030993462	 99.04	 4.960641525685787e-05	 100.0	1560.1912066936493
180	 0.0630712477862835	 99.05	 4.760965040574471e-05	 100.0	1605.0702817440033
185	 0.06375008653402328	 99.02	 4.651283314451575e-05	 100.0	1650.6479823589325
190	 0.06399975335597992	 99.05	 4.307890047008792e-05	 100.0	1693.3588149547577
195	 0.06433058449029923	 99.04	 4.1795880999416115e-05	 100.0	1736.0208988189697
200	 0.06468368731737137	 99.08	 3.974482330183188e-05	 100.0	1778.9549193382263
205	 0.06494744030237198	 99.03	 3.902993596469362e-05	 100.0	1821.5129036903381
210	 0.064999723726511	 99.05	 3.777433012922605e-05	 100.0	1864.0566537380219
215	 0.0650632865846157	 99.03	 3.6493735279267035e-05	 100.0	1906.9018034934998
220	 0.065741606092453	 99.04	 3.475079101820787e-05	 100.0	1949.5504796504974
225	 0.06593962952494621	 99.03	 3.331300104036927e-05	 100.0	1992.5264792442322
230	 0.0663651772260666	 99.03	 3.216351247392595e-05	 100.0	2035.1844537258148
235	 0.06650999763011932	 99.06	 3.150448786715666e-05	 100.0	2079.9215824604034
240	 0.06654178140163422	 99.05	 2.99069138088574e-05	 100.0	2122.9605884552
245	 0.06686095834970474	 99.04	 2.9152211640030145e-05	 100.0	2165.5094389915466
250	 0.06702582577466965	 99.05	 2.8482232072080173e-05	 100.0	2208.0379338264465
255	 0.06682021108269691	 99.04	 2.986713650946816e-05	 100.0	2251.525839805603
260	 0.06694854951798916	 99.06	 2.671933937817812e-05	 100.0	2300.213568210602
265	 0.06773488737344742	 99.03	 2.6095686464880904e-05	 100.0	2343.6654636859894
270	 0.06791885010004044	 99.02	 2.5911662199844916e-05	 100.0	2387.0274777412415
275	 0.06810346169471741	 99.02	 2.513098611185948e-05	 100.0	2430.8140082359314
280	 0.06833157024383545	 99.01	 2.4148117642228803e-05	 100.0	2474.655694246292
285	 0.068294799888134	 99.03	 2.3503377350668113e-05	 100.0	2517.385181903839
290	 0.06841317228078843	 99.02	 2.2895965228478115e-05	 100.0	2559.8670473098755
295	 0.06859374879002571	 99.03	 2.2700219244385758e-05	 100.0	2614.0426733493805
300	 0.0690600126504898	 99.02	 2.206512203750511e-05	 100.0	2656.5667877197266
process 0: Training time 2656.5681869983673 seconds (with 20 workers)
process 0: total time 3589.214061021805 seconds (with 20 workers)

