epoch	 test_loss	 test_acc	 train_loss	 train_acc 	 time_since_begin(without testing)
0	 2.8333557739257813	 12.72	 2.8272327962239583	 12.376666666666667	0.00010037422180175781
1	 1.0701814025878906	 77.97	 1.0904348815917968	 77.075	4.131306171417236
2	 0.8295471862792969	 84.67	 0.8499694646199545	 83.89333333333333	8.227590322494507
3	 0.7510920501708984	 86.59	 0.7700562754313152	 85.88166666666666	12.361074209213257
4	 0.7102523132324219	 87.6	 0.7280564509073894	 86.92	16.44606852531433
5	 0.6830118103027344	 88.32	 0.7001962534586588	 87.63333333333334	20.585843801498413
6	 0.662202651977539	 88.71	 0.6791745020548503	 88.125	24.660820245742798
7	 0.6449967514038086	 88.91	 0.661774439239502	 88.51	28.761894702911377
8	 0.6324988296508789	 89.28	 0.6479112775166829	 88.83	32.845832109451294
9	 0.6203803451538086	 89.48	 0.6360589411417643	 89.035	36.92925238609314
10	 0.6106669738769531	 89.71	 0.6255981030782064	 89.30166666666666	41.01711416244507
11	 0.600551448059082	 89.85	 0.6163999776204427	 89.43166666666667	45.135247230529785
12	 0.5936641311645507	 90.03	 0.6080343444824219	 89.64	49.26330518722534
13	 0.5858559356689453	 90.14	 0.6005404726664225	 89.73333333333333	53.3784396648407
14	 0.5789674118041992	 90.25	 0.5936856185913086	 89.85833333333333	57.461764335632324
15	 0.5728546844482423	 90.31	 0.5874457771301269	 89.96833333333333	61.60120177268982
16	 0.5671319885253906	 90.48	 0.5817307952880859	 90.09333333333333	65.72637724876404
17	 0.5617269836425781	 90.51	 0.5765032468159994	 90.12	69.78834772109985
18	 0.5572140991210938	 90.56	 0.5715337219238281	 90.19	73.90579533576965
19	 0.5522903884887695	 90.61	 0.5669188056945801	 90.245	77.98262214660645
20	 0.5483749069213868	 90.68	 0.5625330523173014	 90.33333333333333	82.0850567817688
25	 0.5300322555541992	 90.94	 0.5443160774230957	 90.55833333333334	102.502432346344
30	 0.5168818923950196	 90.97	 0.5302385381062826	 90.675	122.89874148368835
35	 0.5054620529174805	 91.28	 0.5189348078409831	 90.82	143.28389596939087
40	 0.49652307739257817	 91.24	 0.5096073824564615	 90.89833333333333	163.6624240875244
45	 0.4895644836425781	 91.34	 0.5021628087361654	 90.945	184.12778401374817
50	 0.4842495147705078	 91.38	 0.4960809878031413	 91.01	204.56081628799438
55	 0.47861564788818356	 91.49	 0.49136148147583014	 91.055	225.00193548202515
60	 0.47559958572387695	 91.46	 0.48728097305297846	 91.04333333333334	245.39748239517212
65	 0.4725387107849121	 91.48	 0.48403198445638024	 91.09333333333333	265.8136713504791
70	 0.47053564910888673	 91.4	 0.48115113321940106	 91.165	286.16655826568604
75	 0.4687428131103516	 91.4	 0.47921913630167645	 91.15333333333334	306.6600716114044
80	 0.4664891738891601	 91.39	 0.4770750200907389	 91.16833333333334	327.0559821128845
85	 0.46462964630126957	 91.49	 0.47525017979939777	 91.24166666666666	347.51571226119995
90	 0.46325587997436524	 91.39	 0.4734843594868978	 91.22	367.8872911930084
95	 0.46171087951660156	 91.49	 0.4719343612670898	 91.23666666666666	388.28542852401733
100	 0.4611983192443847	 91.49	 0.47096014353434246	 91.285	408.67580580711365
105	 0.45961852951049803	 91.55	 0.4698327776590983	 91.22833333333334	429.049432516098
110	 0.4586273704528808	 91.48	 0.4684279090881348	 91.315	449.52451825141907
115	 0.4573662467956543	 91.51	 0.4674690943400065	 91.29	469.90239548683167
120	 0.4568993797302246	 91.57	 0.4663617650349935	 91.32333333333334	490.9225687980652
125	 0.45575514297485353	 91.71	 0.46553731587727865	 91.29833333333333	511.4699366092682
130	 0.4553709739685059	 91.61	 0.46492069625854493	 91.305	531.8887040615082
135	 0.45452062149047856	 91.6	 0.463550491587321	 91.35666666666667	552.3356244564056
140	 0.45384357604980474	 91.57	 0.4629885312398275	 91.33	572.7995338439941
145	 0.4527345932006836	 91.64	 0.46201894760131834	 91.33166666666666	593.2724528312683
150	 0.4528519241333008	 91.59	 0.461424223836263	 91.33	613.6511263847351
155	 0.4522012878417969	 91.67	 0.46096775995890305	 91.34	634.0812456607819
160	 0.4513058303833008	 91.64	 0.46011077041625975	 91.38833333333334	654.4978883266449
165	 0.4504492515563965	 91.72	 0.45935120900472004	 91.40333333333334	674.9653644561768
170	 0.45032914505004884	 91.66	 0.458791365814209	 91.41666666666667	695.4169101715088
175	 0.45018053970336913	 91.71	 0.45834616241455073	 91.38833333333334	715.8280277252197
180	 0.44931350784301755	 91.67	 0.4579330558776855	 91.38333333333334	736.3387095928192
185	 0.44960006790161133	 91.61	 0.45739384892781576	 91.38	756.7616200447083
190	 0.44866392669677735	 91.69	 0.4570986267089844	 91.39166666666667	777.1100397109985
195	 0.44815256729125974	 91.79	 0.45665289586385094	 91.37	797.630256652832
200	 0.4484942993164063	 91.75	 0.4562235120137533	 91.445	818.0708620548248
205	 0.4484361946105957	 91.66	 0.45633689549764	 91.40333333333334	838.5248327255249
210	 0.4481976776123047	 91.75	 0.45554371185302733	 91.48666666666666	859.0120449066162
215	 0.4479107749938965	 91.66	 0.4553219416300456	 91.47166666666666	879.4546751976013
220	 0.4488432281494141	 91.63	 0.4555997500101725	 91.43833333333333	899.9209635257721
225	 0.44771381454467774	 91.72	 0.4546955851236979	 91.46166666666667	920.5747854709625
230	 0.4468846969604492	 91.71	 0.4544190818786621	 91.46	941.073707818985
235	 0.4469045097351074	 91.76	 0.4544533083597819	 91.45666666666666	961.5881450176239
240	 0.44723267517089843	 91.67	 0.45416471786499024	 91.49833333333333	982.0227355957031
245	 0.44607248458862303	 91.73	 0.4538201108296712	 91.42666666666666	1002.5654439926147
250	 0.44650968170166017	 91.78	 0.4536075950622559	 91.45166666666667	1022.9941937923431
255	 0.4460078056335449	 91.76	 0.45353086395263675	 91.47833333333334	1043.4469175338745
260	 0.4463221252441406	 91.66	 0.4534050163269043	 91.43	1063.9105882644653
265	 0.44584316329956053	 91.7	 0.45329836247762045	 91.46	1084.4037308692932
270	 0.44585005340576167	 91.79	 0.4528864270528158	 91.48166666666667	1104.8472092151642
275	 0.44587354507446286	 91.67	 0.4531313481648763	 91.49333333333334	1125.3571472167969
280	 0.445473844909668	 91.78	 0.4525905749003092	 91.49666666666667	1145.7978818416595
285	 0.4458139144897461	 91.69	 0.45252012634277344	 91.49	1166.2594332695007
290	 0.446057088470459	 91.71	 0.45271490427652994	 91.475	1186.7358603477478
295	 0.44530875549316407	 91.72	 0.452307837677002	 91.5	1207.2475237846375
300	 0.44613957366943363	 91.74	 0.452309619140625	 91.45666666666666	1227.708774805069
process 0: Training time 1227.7090010643005 seconds (with 2 workers)
process 0: total time 1876.4949560165405 seconds (with 2 workers)

